subject_id,model,scalar,GM,WM,acc,caudate,thalamus,S1
AG6470,GQI,md,"[0.752914, 0.758768, 0.76032, 0.757586, 0.760858, 0.75676, 0.754315, 0.752464, 0.748064, 0.745818, 0.746555, 0.744687]","[0.657484, 0.659585, 0.663083, 0.66048, 0.663746, 0.659878, 0.657845, 0.656795, 0.653146, 0.651007, 0.651358, 0.650283]","[0.771895, 0.777764, 0.78283, 0.775746, 0.782844, 0.777069, 0.777587, 0.777226, 0.776838, 0.778127, 0.780763, 0.781152]","[0.742391, 0.756769, 0.773106, 0.764494, 0.77989, 0.759417, 0.785779, 0.76594, 0.774552, 0.77483, 0.769999, 0.766791]","[0.746423, 0.752222, 0.757353, 0.748016, 0.764196, 0.752406, 0.751725, 0.74256, 0.739165, 0.735206, 0.734626, 0.737958]","[0.812346, 0.817646, 0.816225, 0.815477, 0.810224, 0.809496, 0.818659, 0.810886, 0.804827, 0.799261, 0.797758, 0.796079]"
AM5508,GQI,md,"[0.742525, 0.744958, 0.736853, 0.743235, 0.737117, 0.740251, 0.742964, 0.741843, 0.745928, 0.747632, 0.748919, 0.749475]","[0.648783, 0.648454, 0.649706, 0.64847, 0.647121, 0.645349, 0.649668, 0.649137, 0.651174, 0.650826, 0.653847, 0.650357]","[0.801825, 0.805157, 0.802698, 0.801727, 0.799848, 0.801812, 0.799218, 0.795605, 0.808126, 0.804188, 0.807148, 0.810132]","[0.687986, 0.687836, 0.697681, 0.686192, 0.692617, 0.683123, 0.694506, 0.695587, 0.700775, 0.693058, 0.697957, 0.694273]","[0.701747, 0.698855, 0.713189, 0.708454, 0.710962, 0.700425, 0.716361, 0.71345, 0.723018, 0.713224, 0.721535, 0.715359]","[0.839683, 0.844061, 0.845226, 0.842226, 0.832489, 0.834508, 0.840467, 0.84265, 0.855252, 0.844859, 0.860416, 0.856332]"
AA5325,GQI,md,"[0.776342, 0.78047, 0.776087, 0.78319, 0.774235, 0.780909, 0.781741, 0.77638, 0.782173, 0.774738, 0.782122, 0.780698]","[0.668457, 0.67153, 0.669381, 0.670611, 0.669042, 0.67002, 0.672154, 0.667611, 0.667251, 0.665665, 0.668227, 0.667655]","[0.781589, 0.786041, 0.78258, 0.788376, 0.789363, 0.787544, 0.794291, 0.787331, 0.786823, 0.785694, 0.798273, 0.790469]","[0.804213, 0.805995, 0.787737, 0.796728, 0.790257, 0.802247, 0.793194, 0.78339, 0.80857, 0.788551, 0.816623, 0.80604]","[0.729171, 0.74592, 0.722077, 0.731428, 0.726818, 0.739515, 0.741191, 0.733064, 0.734238, 0.717301, 0.732344, 0.737366]","[0.867733, 0.877954, 0.853625, 0.879618, 0.83614, 0.871214, 0.856614, 0.836811, 0.868332, 0.823013, 0.859884, 0.865163]"
KS5471,GQI,md,"[0.788418, 0.798465, 0.79814, 0.799106, 0.802308, 0.789132, 0.801985, 0.797789, 0.796423, 0.801352, 0.797598, 0.795882]","[0.672802, 0.676445, 0.676642, 0.678455, 0.680843, 0.67435, 0.678352, 0.677113, 0.675198, 0.677115, 0.675521, 0.67438]","[0.821535, 0.838167, 0.83719, 0.831296, 0.832942, 0.828264, 0.83315, 0.833552, 0.826204, 0.832492, 0.826673, 0.822623]","[0.854624, 0.882522, 0.899569, 0.891817, 0.909684, 0.881496, 0.894959, 0.888612, 0.902038, 0.884656, 0.897227, 0.89993]","[0.778073, 0.773877, 0.785619, 0.794335, 0.808373, 0.806206, 0.790601, 0.782713, 0.787305, 0.768312, 0.780816, 0.773913]","[0.893704, 0.914673, 0.902736, 0.912577, 0.919177, 0.893118, 0.922275, 0.908014, 0.894676, 0.915383, 0.907797, 0.917393]"
PER5474,GQI,md,"[0.770766, 0.765683, 0.771869, 0.777079, 0.765527, 0.77395, 0.774196, 0.774321, 0.774083, 0.764271, 0.771027, 0.770448]","[0.668813, 0.665353, 0.667653, 0.670104, 0.66467, 0.669032, 0.668566, 0.667423, 0.667048, 0.660898, 0.66547, 0.663308]","[0.797538, 0.799682, 0.803576, 0.802078, 0.797325, 0.796421, 0.795189, 0.794812, 0.792397, 0.782459, 0.791922, 0.792176]","[0.752157, 0.754128, 0.756051, 0.7587, 0.757887, 0.753068, 0.764947, 0.763002, 0.761168, 0.752368, 0.758379, 0.769271]","[0.718197, 0.723026, 0.720007, 0.730142, 0.725738, 0.720225, 0.724831, 0.724328, 0.724452, 0.717965, 0.721608, 0.731207]","[0.825643, 0.809771, 0.823978, 0.837508, 0.804965, 0.833825, 0.826667, 0.833703, 0.834258, 0.81579, 0.827189, 0.81558]"
CM5268,GQI,md,"[0.755686, 0.753729, 0.749427, 0.753944, 0.746044, 0.752096, 0.758769, 0.751833, 0.754427, 0.753394, 0.753851, 0.754759]","[0.656312, 0.655571, 0.652841, 0.654987, 0.654699, 0.654535, 0.656874, 0.651777, 0.655185, 0.654133, 0.653414, 0.652649]","[0.786338, 0.773578, 0.774088, 0.784521, 0.777911, 0.775299, 0.79497, 0.785509, 0.785878, 0.784137, 0.786006, 0.782822]","[0.802987, 0.803291, 0.792041, 0.809542, 0.795652, 0.796264, 0.84004, 0.821557, 0.832097, 0.824418, 0.823522, 0.831285]","[0.749716, 0.755969, 0.748067, 0.746479, 0.762345, 0.748794, 0.755741, 0.742947, 0.760005, 0.750835, 0.749826, 0.752422]","[0.820386, 0.804912, 0.796759, 0.813357, 0.762334, 0.802483, 0.820282, 0.798848, 0.818803, 0.811688, 0.819247, 0.817237]"
CKA6605,GQI,md,"[0.797641, 0.797676, 0.800902, 0.756991, 0.78862, 0.800968, 0.798663, 0.799389, 0.798964, 0.792932, 0.796417, 0.798977]","[0.671218, 0.674307, 0.678338, 0.643461, 0.667922, 0.673757, 0.673888, 0.672282, 0.670497, 0.66663, 0.668873, 0.670741]","[0.799934, 0.799329, 0.80095, 0.757501, 0.788858, 0.803109, 0.801536, 0.804306, 0.800688, 0.79776, 0.801792, 0.800106]","[0.781939, 0.776235, 0.787754, 0.749268, 0.755536, 0.782919, 0.771773, 0.789205, 0.799591, 0.806181, 0.776716, 0.77555]","[0.750232, 0.767813, 0.771594, 0.733354, 0.749336, 0.757386, 0.758007, 0.758623, 0.755264, 0.751079, 0.752175, 0.759434]","[0.870552, 0.889718, 0.897271, 0.837744, 0.848054, 0.878984, 0.888794, 0.875277, 0.876182, 0.859352, 0.873832, 0.879438]"
EP5270,GQI,md,"[0.75237, 0.751088, 0.752842, 0.750282, 0.753938, 0.751738, 0.751944, 0.751288, 0.753178, 0.753075, 0.748356, 0.746842]","[0.660591, 0.660454, 0.661428, 0.66076, 0.663245, 0.661394, 0.659589, 0.659487, 0.660455, 0.659796, 0.657838, 0.655486]","[0.7879, 0.790638, 0.791794, 0.791409, 0.794257, 0.79162, 0.793143, 0.790951, 0.79311, 0.79371, 0.78788, 0.789082]","[0.737731, 0.746569, 0.75026, 0.748813, 0.749449, 0.746272, 0.756766, 0.754677, 0.758553, 0.755278, 0.745845, 0.751709]","[0.727622, 0.734062, 0.730403, 0.744342, 0.737919, 0.728369, 0.738271, 0.74387, 0.744516, 0.733232, 0.734292, 0.738065]","[0.840689, 0.846374, 0.842815, 0.835658, 0.847562, 0.834731, 0.839143, 0.840605, 0.838081, 0.835389, 0.819769, 0.833337]"
MB5330,GQI,fa0,"[0.029018, 0.029871, 0.027707, 0.029771, 0.030797, 0.029522, 0.032066, 0.032061, 0.032297, 0.032201, 0.031362, 0.033091]","[0.063249, 0.065773, 0.060472, 0.065103, 0.069195, 0.063896, 0.069905, 0.069873, 0.071051, 0.070139, 0.068775, 0.072011]","[0.032122, 0.032965, 0.032008, 0.034491, 0.036483, 0.033258, 0.036627, 0.036901, 0.038552, 0.03715, 0.036017, 0.040194]","[0.04113, 0.044845, 0.041474, 0.044774, 0.049627, 0.044199, 0.046861, 0.044719, 0.048407, 0.046673, 0.048173, 0.050806]","[0.057287, 0.061193, 0.05503, 0.060086, 0.063851, 0.058765, 0.065175, 0.063631, 0.065897, 0.063736, 0.065404, 0.065102]","[0.024522, 0.025202, 0.023119, 0.024592, 0.027642, 0.023679, 0.02621, 0.027143, 0.027899, 0.027291, 0.026658, 0.027938]"
AG6470,GQI,fa0,"[0.033764, 0.032615, 0.034737, 0.034057, 0.032415, 0.034422, 0.030495, 0.029883, 0.031193, 0.031776, 0.030356, 0.030577]","[0.07245, 0.070658, 0.074453, 0.072771, 0.069178, 0.073872, 0.065884, 0.064414, 0.066614, 0.068357, 0.065075, 0.065539]","[0.035506, 0.034471, 0.036149, 0.035744, 0.034233, 0.037142, 0.031466, 0.031791, 0.031817, 0.032536, 0.031844, 0.031711]","[0.039155, 0.03736, 0.038909, 0.039238, 0.036674, 0.039763, 0.034796, 0.03449, 0.035046, 0.035666, 0.034789, 0.035124]","[0.066733, 0.06595, 0.06746, 0.067241, 0.062663, 0.067958, 0.060443, 0.059579, 0.061577, 0.063047, 0.059769, 0.059659]","[0.024054, 0.02269, 0.024782, 0.024282, 0.023094, 0.024858, 0.021008, 0.021621, 0.022825, 0.023912, 0.022761, 0.022606]"
